id,codigo,name,codigo_afip,name_afip,aporte_sipa,contrib_sipa,aporte_inssjp,contrib_inssjp,aporte_os,contrib_os,aporte_fsr,contrib_fsr,contrib_aaff,contrib_fne,contrib_lrt,aporte_diferencial,aporte_especial
lsd_concepto_566,566,SAC SOBRE ASIG NO REM,550000,Importes no remunerativos especiales,0,0,0,0,1,1,1,1,0,0,1,0,0
lsd_concepto_565,565,ASIG. NO REM ABRIL 2024,550000,Importes no remunerativos especiales,0,0,0,0,1,1,1,1,0,0,1,0,0
lsd_concepto_525,525,Gratif. Extraor. No Rem. ASIMRA 24/07/23,550000,Importes no remunerativos especiales,0,0,0,0,0,0,0,0,0,0,0,0,0
lsd_concepto_569,569,ASIG EXTRAORDINARIA N.R. JULIO 2025,550000,Importes no remunerativos especiales,0,0,0,0,0,0,0,0,0,0,1,0,0
lsd_concepto_570,570,ASIG EXTRAORDINARIA N.R. AGOSTO 2025,550000,Importes no remunerativos especiales,0,0,0,0,0,0,0,0,0,0,1,0,0
lsd_concepto_571,571,AJ ASIG POR REFRIG SET SOEVA 2025,550000,Importes no remunerativos especiales,0,0,0,0,0,0,0,0,0,0,1,0,0
lsd_concepto_572,572,NO REM EXTRAORDINARIO,550000,Importes no remunerativos especiales,0,0,0,0,1,1,1,1,0,0,0,0,0
lsd_concepto_573,573,NR RETROACTIVO,550000,Importes no remunerativos especiales,0,0,0,0,1,1,1,1,0,0,0,0,0
lsd_concepto_524,524,Gratif. Extraor. No Rem. UOM 24/07/23,550000,Importes no remunerativos especiales,0,0,0,0,0,0,0,0,0,0,0,0,0
lsd_concepto_556,556,ASIG NO REM AC SOEVA 2021,550000,Importes no remunerativos especiales,0,0,0,0,0,0,0,0,0,0,1,0,0
lsd_concepto_563,563,PROGRAMA ENLAZADOS,550000,Importes no remunerativos especiales,0,0,0,0,0,0,0,0,0,0,1,0,0
lsd_concepto_504,504,INCENTIVO ENLAZADOS,550000,Importes no remunerativos especiales,0,0,0,0,0,0,0,0,0,0,0,0,0
lsd_concepto_555,555,GRATF NO REM ASIMRA OCT 2022,550000,Importes no remunerativos especiales,0,0,0,0,0,0,0,0,0,0,1,0,0
lsd_concepto_558,558,ASIG NO REM AC. UOM ADIM AFAC CAM 04/21,550000,Importes no remunerativos especiales,0,0,0,0,0,0,0,0,0,0,1,0,0
lsd_concepto_561,561,ASIG NO REM AC. ASIM SOBRE SAC,550000,Importes no remunerativos especiales,0,0,0,0,0,0,0,0,0,0,1,0,0
lsd_concepto_536,536,ASIG EXTR NO REM NOV 2021,550000,Importes no remunerativos especiales,0,0,0,0,0,0,0,0,0,0,1,0,0
