Código AFIP;Descripción;Código contribuyente;Descripción;Marca repetible;Aportes SIPA;Contribuciones SIPA;Aportes INSSJyP;Contribuciones INSSJyP;Aportes obra social;Contribuciones obra social;Aportes FSR;Contribuciones FSR;Aportes RENATEA;Contribuciones RENATEA;Contribuciones AAFF;Contribuciones FNE;Contribuciones LRT;Aportes diferenciales;Aportes especiales
550000;Importes no remunerativos especiales;565;ASIG. NO REM ABRIL 2024;0;0;0;0;0;1;1;1;1;0;0;0;0;1;0;0;
550000;Importes no remunerativos especiales;525;Gratif. Extraor. No Rem. ASIMRA 24/07/23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
550000;Importes no remunerativos especiales;569;ASIG EXTRAORDINARIA N.R. JULIO 2025;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
550000;Importes no remunerativos especiales;570;ASIG EXTRAORDINARIA N.R. AGOSTO 2025;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
550000;Importes no remunerativos especiales;571;AJ ASIG POR REFRIG SET SOEVA 2025;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
550000;Importes no remunerativos especiales;572;NO REM EXTRAORDINARIO;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;
550000;Importes no remunerativos especiales;573;NR RETROACTIVO;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;
550000;Importes no remunerativos especiales;524;Gratif. Extraor. No Rem. UOM 24/07/23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
550000;Importes no remunerativos especiales;556;ASIG NO REM AC SOEVA 2021;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
550000;Importes no remunerativos especiales;563;PROGRAMA ENLAZADOS;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
550000;Importes no remunerativos especiales;504;INCENTIVO ENLAZADOS;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
550000;Importes no remunerativos especiales;555;GRATF NO REM ASIMRA OCT 2022;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
550000;Importes no remunerativos especiales;558;ASIG NO REM AC. UOM ADIM AFAC CAM 04/21;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
550000;Importes no remunerativos especiales;561;ASIG NO REM AC. ASIM SOBRE SAC;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
550000;Importes no remunerativos especiales;536;ASIG EXTR NO REM NOV 2021;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
550000;Importes no remunerativos especiales;506;VACACIONES NO GOZADAS 2019;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
550000;Importes no remunerativos especiales;562;VACACIONES NO GOZADAS 2021;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
550000;Importes no remunerativos especiales;535;COMP.POR REFRIGERIO-SOEVA/21;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
550000;Importes no remunerativos especiales;560;SAC no rem Acuerdo UOM 04/21;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
550000;Importes no remunerativos especiales;559;ASIG NO REM AC. ASIM ADIM AFAC CAM 04/21;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
551000;Importes no remunerativos especiales - De uso libre;568;SUBSIDIO POR FALLECIMIENTO DE FAMILIAR;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
560005;Asign. No remunerativa Dec 841/2022;564;BONO DECRETO 841/2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
560006;AsignaciÃ³n No Remunerativa Dec. 438/2023;526;ASIG. NO REM DECRETO 438/23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
799999;Redondeo (No Remunerativo);599;Redondeo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
799999;Redondeo (No Remunerativo);598;REDONDEO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
810000;Sistema previsional;200;Jubilacion 11%;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
810001;INSSJyP;201;Ley 19.032;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
810002;Obra Social;296;MUTUAL FEDERADA 1/2 DIA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
810002;Obra Social;240;BOREAL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
810002;Obra Social;239;BOREAL 1/2 DIA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
810002;Obra Social;290;OSEYPDEAA (EMPLEADO 1/2 DIA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
810002;Obra Social;207;OSMEDICA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
810002;Obra Social;215;MUTUAL AGUA Y ENERGIA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
810002;Obra Social;220;OSMEDICA S/RESOL.370/04;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
810002;Obra Social;272;O.S.D.E.P.Y.M. 1/2 DIA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
810002;Obra Social;211;O.S.E.C.A.C.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
810002;Obra Social;228;O.S.P.O.C.E.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
810002;Obra Social;226;O. S. TRAB. DE ESTAC. DE SERV.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
810002;Obra Social;263;MEDIFE (EMPLEADO 1/2 DIA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
810002;Obra Social;235;OSSIMRA (EMPLEADO 1/2 DIA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
810002;Obra Social;264;O.S.C.E.A.R.B.A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
810002;Obra Social;229;O.S.P.E.L.S.Y.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
810002;Obra Social;279;OSPACA (EMPLEADO 1/2 DIA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
810002;Obra Social;282;APORTE OBRA SOCIA S/ GRATIF NO RE 2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
810002;Obra Social;265;SANCOR SALUD;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
810002;Obra Social;255;OMINT  (EMPLEADO 1/2 DIA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
810002;Obra Social;261;O.S.C.E.P.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
810002;Obra Social;206;OSUOMRA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
810002;Obra Social;266;OSPSA - SANIDAD;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
810002;Obra Social;252;MUTUAL A.Y ENERGIA(EMP1/2 DIA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
810002;Obra Social;297;O.S.P.E.L.S.Y.M 1/2 DIA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
810002;Obra Social;267;O.S.N.O.B.I.S;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
810002;Obra Social;256;OMINT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
810002;Obra Social;269;OSDEPYME;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
810002;Obra Social;212;O.S. P.A.C.A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
810002;Obra Social;289;SANCOR (EMPLEADO 1/2 DIA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
810002;Obra Social;223;OSSIMRA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
810002;Obra Social;217;MUTUAL AyE RESOL.370/04;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
810002;Obra Social;237;OSUOMRA (EMPLEADO 1/2 DIA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
810002;Obra Social;230;O.S.P.R.E.R.A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
810002;Obra Social;253;O.S.D.E.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
810002;Obra Social;262;O.S.E.C.A.C.(EMPLEADO 1/2 DIA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
810002;Obra Social;238;OSMEDICA (EMPLEADO 1/2 DIA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
810002;Obra Social;204;OSPE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
810004;Cuota Sindical;232;APORTE SOLIDARIO FOEVA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
810004;Cuota Sindical;227;CUOTA SINDICAL ASIMRA   2.5%;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
810004;Cuota Sindical;254;CUOTA SINDICAL ASIMRA 3%;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
810004;Cuota Sindical;233;APORTE SOLIDARIO FOEVA 1.5%;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
810004;Cuota Sindical;203;Sindicato;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
810004;Cuota Sindical;219;CUOTA SINDICAL NO AFILIADO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
810004;Cuota Sindical;202;CUOTA SINDICAL AFILIADO  2.5 %;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
810005;Seguro de Vida;245;DIF SEG DE VIDA FEB-MAR;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
810005;Seguro de Vida;246;DIF SEG DE VIDA FEB-MAR ASIMRA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
810005;Seguro de Vida;291;DIF.RET.NOV SEG.VIDA Y SEP U.O.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
810005;Seguro de Vida;292;DIF.RET.DIC SEG.VIDA Y SEP U.O.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
810005;Seguro de Vida;218;DIF SEG DE VIDA ASIMRA ABR-MAY 2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
810005;Seguro de Vida;210;SEG.VIDA Y SEPELIO U.O.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
810005;Seguro de Vida;208;SEG.VIDA Y SEPELIO ASSIMRA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
810005;Seguro de Vida;231;SEG.VIDA Y SEPELIO SOEVA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
810006;RENATEA (ex RENATRE);243;APORTE RENATEA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
820000;Otros descuentos;288;Falta Injustificada;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
820000;Otros descuentos;404;EMBARGO JUDICIAL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
820000;Otros descuentos;402;EMBARGO JUDICIAL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
821000;Otros descuentos - De uso libre;286;DIF.SEG VIDA-SOEVA ABRIL 25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
821000;Otros descuentos - De uso libre;294;DIF.RET.NOV SEG.VIDA ASIMRA. 2024;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
821000;Otros descuentos - De uso libre;295;DIF.RET.DIC SEG.VIDA ASIMRA. 2024;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
821000;Otros descuentos - De uso libre;293;PROGRAMA ENLAZADOS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
